front;back
Palavra negativa exige próclise ou ênclise?;Próclise. Palavras negativas (não, nunca, jamais, ninguém, nada) são atrativas obrigatórias.
'Não me disseram a verdade.' A próclise está correta?;Sim. O advérbio de negação 'não' é palavra atrativa, exigindo próclise.
'Ninguém falou-me sobre o caso.' Correto ou incorreto?;Incorreto. 'Ninguém' é pronome indefinido (palavra atrativa), exige próclise: 'Ninguém me falou'.
'Jamais enganar-te-ei.' A colocação está correta?;Incorreto. 'Jamais' é palavra atrativa, exige próclise: 'Jamais te enganarei'.
Advérbios são fatores de próclise. 'Aqui se trabalha muito.' Correto?;Sim. O advérbio 'aqui' atrai o pronome, justificando a próclise.
'Talvez encontre-o na reunião.' Correto ou incorreto?;Incorreto. 'Talvez' é advérbio de dúvida (atrativo), exige próclise: 'Talvez o encontre'.
'Sempre me tratou bem.' Por que a próclise é obrigatória?;Porque 'sempre' é advérbio, que é fator de atração do pronome oblíquo.
Pronomes relativos (que, quem, o qual) exigem qual colocação?;Próclise obrigatória. Ex.: 'O livro que me emprestou era ótimo.'
'A pessoa que apresentou-se era o diretor.' Correto?;Incorreto. O pronome relativo 'que' é atrativo: 'A pessoa que se apresentou'.
'O aluno cujo pai lhe ofereceu o livro.' A próclise está justificada?;Sim. 'Cujo' é pronome relativo, fator de atração obrigatória.
Conjunções subordinativas exigem próclise ou ênclise?;Próclise. Ex.: 'Quando me viram, sorriram.' (quando = conj. subordinativa temporal).
'Embora dedique-se ao trabalho, não foi promovido.' Correto?;Incorreto. 'Embora' é conjunção subordinativa concessiva: 'Embora se dedique'.
'Se alguém apresentar-se, avise-me.' A colocação do primeiro pronome está correta?;Incorreto. 'Se' (conj. subordinativa condicional) exige próclise: 'Se alguém se apresentar'.
'Conforme lhe expliquei, o prazo venceu.' Correto?;Sim. 'Conforme' é conjunção subordinativa conformativa, justifica a próclise.
Pronomes indefinidos (alguém, tudo, algo, qualquer) exigem qual colocação?;Próclise obrigatória. Ex.: 'Alguém me chamou', 'Tudo se resolveu'.
'Qualquer decisão tomar-se-á em breve.' Correto?;Incorreto. 'Qualquer' é pronome indefinido (atrativo): 'Qualquer decisão se tomará'.
'Tudo acabou-se rapidamente.' Correto?;Incorreto. 'Tudo' é pronome indefinido, exige próclise: 'Tudo se acabou'.
Pronomes demonstrativos (isso, aquilo, este) atraem o pronome oblíquo?;Sim. Pronomes demonstrativos são fatores de próclise. Ex.: 'Isso me preocupa'.
'Em hipótese alguma dir-lhe-ei mentiras.' Correto?;Incorreto. 'Em hipótese alguma' contém palavra negativa, exige próclise: 'Em hipótese alguma lhe direi'.
Macete: quais são os principais fatores de próclise? (mnemônico);PRANA: Palavras negativas, Relativos, Advérbios, Nexos subordinativos (conjunções), pronomes/Adjetivos indefinidos.
Quando se usa mesóclise?;Apenas com verbos no futuro do presente ou futuro do pretérito, quando não há fator de próclise. Ex.: 'Dir-lhe-ei', 'Far-me-ia'.
'Convidar-te-ia para a festa.' Correto?;Sim. Verbo no futuro do pretérito sem fator de próclise: mesóclise é a colocação adequada na norma culta.
'Realizar-se-á a prova amanhã.' Correto?;Sim. Verbo no futuro do presente, sem fator atrativo, início de frase: mesóclise obrigatória.
'Não realizar-se-á a prova.' Correto?;Incorreto. O 'não' atrai o pronome, impedindo mesóclise: 'Não se realizará a prova'.
'Ele contar-me-á tudo.' A mesóclise está correta?;Incorreto na prática: o sujeito explícito 'Ele' não é fator de próclise, mas em provas aceita-se 'Ele me contará' (próclise facultativa com sujeito expresso) OU 'Contar-me-á'. A banca costuma aceitar ambos.
Pode-se iniciar oração com pronome oblíquo átono no português culto?;Não. Pronome átono não inicia oração. Ex.: 'Me disseram' está INCORRETO, correto: 'Disseram-me'.
'Falaram-me sobre o concurso.' A ênclise está correta?;Sim. Início de oração, sem fator atrativo, exige ênclise.
Após pausa (vírgula, ponto e vírgula), qual a colocação correta?;Ênclise. A pausa impede a próclise. Ex.: 'O aluno estudou bastante, dedicou-se ao máximo'.
'Estudou bastante, se dedicou ao máximo.' Correto?;Incorreto na norma culta. Após vírgula (pausa), usa-se ênclise: 'dedicou-se'.
Imperativo afirmativo exige qual colocação?;Ênclise (sem fator atrativo). Ex.: 'Diga-me a verdade', 'Cale-se agora'.
'Não me diga isso!' A próclise com imperativo está correta?;Sim. O 'não' (negação) atrai o pronome mesmo no imperativo.
Gerúndio sem preposição 'em' exige qual colocação?;Ênclise. Ex.: 'Fazendo-se necessário, convocaremos reunião'.
'Em se tratando de gramática, tudo é possível.' A próclise com gerúndio está correta?;Sim. A preposição 'em' antes do gerúndio é fator de próclise obrigatória.
Infinitivo pessoal precedido de preposição exige qual colocação?;Facultativa na maioria dos casos. Ex.: 'para me ajudar' ou 'para ajudar-me'. Exceção: preposição 'a' + pronome 'o' → ênclise preferencial.
'Ao encontrá-lo, sorriu.' O uso de ênclise com infinitivo precedido de 'ao' está correto?;Sim. Infinitivo regido de preposição admite ênclise.
'Para não incomodá-lo, saí cedo.' Correto?;Incorreto. O 'não' é fator de próclise: 'Para não o incomodar'.
Em locuções verbais com verbo auxiliar + infinitivo, onde o pronome pode ficar?;Três posições: antes do auxiliar (se houver atração), depois do auxiliar com hífen, ou depois do infinitivo com hífen. Ex.: 'Não o posso fazer' / 'Não posso fazê-lo'.
'Devo-lhe informar o resultado.' Correto?;Sim. Pronome ligado ao auxiliar por ênclise, sem fator de próclise. Posição válida.
'Posso lhe informar' e 'Posso informar-lhe'. Ambas estão corretas?;Sim. Em locuções verbais (auxiliar + infinitivo), o pronome pode vir antes ou depois do verbo principal.
'Não posso dizer-lhe a verdade.' Correto?;Sim. Com fator de próclise, o pronome pode ficar proclítico ao auxiliar ('Não lhe posso dizer') ou enclítico ao principal ('Não posso dizer-lhe'). Ambos aceitos.
'O documento que enviou-se está incorreto.' Correto?;Incorreto. 'Que' (pronome relativo) atrai o pronome: 'O documento que se enviou'.
Sujeito expresso imediatamente antes do verbo torna a próclise obrigatória?;Não. Sujeito expresso (substantivo/pronome pessoal do caso reto) torna a próclise FACULTATIVA, não obrigatória.
'Eu me refiro ao projeto.' e 'Eu refiro-me ao projeto.' Qual está correta?;Ambas. Sujeito expresso (Eu) permite próclise ou ênclise facultativamente.
'Os candidatos classificaram-se para a próxima fase.' Correto?;Sim. Sujeito substantivo sem fator atrativo: ênclise é válida (próclise também seria).
V ou F: Em orações interrogativas diretas, a próclise é obrigatória.;Verdadeiro. Pronomes/advérbios interrogativos são fatores de atração. Ex.: 'Quem lhe disse isso?'
'Quanto custa-me esse sacrifício!' Correto?;Incorreto. Frases exclamativas com palavra exclamativa são atrativas: 'Quanto me custa!'.
V ou F: Nas orações optativas (que exprimem desejo), a próclise é obrigatória.;Verdadeiro. Ex.: 'Deus o abençoe!', 'Macacos me mordam!'.
'Havia-se convocado a reunião.' Em tempos compostos, o pronome pode ficar após o auxiliar?;Não se recomenda colocar pronome entre auxiliar e particípio com hífen no auxiliar em tempos compostos. Prefira: 'Havia convocado-se' é incorreto também. Correto: 'Havia-se convocado' é aceito por algumas gramáticas, mas a posição mais segura é próclise ao auxiliar se houver fator atrativo.
V ou F: O pronome oblíquo nunca deve ficar entre o verbo auxiliar e o particípio sem hífen.;Verdadeiro. Ex.: 'Tinha me informado' é aceito (pronome solto entre auxiliar e particípio). 'Tinha informado-me' é incorreto (não se usa ênclise ao particípio).
Pode haver ênclise ao particípio?;Não. NUNCA se usa ênclise ao particípio. Ex.: 'Tinha feito-me' está INCORRETO. Correto: 'Tinha-me feito' ou 'Tinha me feito'.
