front;back
O sujeito composto POSPOSTO ao verbo permite concordância com o núcleo mais próximo. Verdadeiro ou falso?;Verdadeiro. Sujeito composto posposto admite concordância atrativa (com o mais próximo) ou gramatical (plural).
'Faz dez anos que não viajo.' O verbo FAZER está correto no singular?;Sim. Fazer indicando tempo decorrido é impessoal — sempre no singular.
'Haviam muitos candidatos na sala.' Correto ou incorreto?;Incorreto. Haver no sentido de existir é impessoal: 'Havia muitos candidatos'.
'Aluga-se casas.' A concordância está correta?;Incorreta. Com VTD + SE (partícula apassivadora), o verbo concorda com o sujeito paciente: 'Alugam-se casas'.
'Precisa-se de funcionários.' O verbo deve ir ao plural?;Não. Com VTI + SE (índice de indeterminação do sujeito), o verbo fica no singular.
'A maioria dos alunos ____ (passou/passaram).' Qual forma é aceita?;Ambas. Expressões partitivas (a maioria de, grande parte de) admitem singular ou plural.
'Mais de um candidato ____ (desistiu/desistiram).' Qual a regra?;Singular: 'Mais de um candidato desistiu.' Exceção: se houver reciprocidade ou repetição da expressão, vai ao plural.
'Um dos alunos que ____ (fez/fizeram) a prova passou.' Qual a concordância do verbo na oração adjetiva?;O verbo concorda com o antecedente de QUE. Se o antecedente é 'alunos', plural: 'fizeram'. Se ênfase no 'um', singular é aceito.
'Fui eu que ____ (fiz/fez) o trabalho.';Fiz. O pronome relativo QUE retoma o antecedente 'eu', então o verbo concorda com 'eu': fui eu que fiz.
'50% dos eleitores ____ (votou/votaram).' Concordância correta?;Votaram. Com porcentagem seguida de especificador no plural, o verbo vai ao plural.
'1% dos candidatos ____ (foi/foram) aprovado(s).';Foi aprovado (concordância com 1%) ou Foram aprovados (concordância com 'candidatos'). Ambas aceitas, mas bancas preferem plural quando há especificador plural.
'Os Estados Unidos ____ (é/são) uma potência.' Concordância?;Ambas aceitas. Nomes próprios no plural com artigo: plural ('Os EUA são'). Sem artigo: singular ('Estados Unidos é').
'Minas Gerais ____ (produz/produzem) muito café.';Produz. Sem artigo, nome próprio no plural leva verbo ao singular.
'Eram duas horas da tarde.' Por que o verbo SER está no plural?;O verbo SER, indicando horas, datas e distâncias, concorda com o numeral: duas horas → eram.
'Hoje ____ (é/são) 15 de junho.';Ambas aceitas. 'Hoje é 15' (concorda com 'hoje'/dia) ou 'Hoje são 15' (concorda com o numeral). Bancas aceitam as duas.
'Dez reais ____ (é/são) pouco para o almoço.';É. Verbo SER indicando quantidade, peso, medida — concorda com o predicativo (pouco): 'Dez reais é pouco'.
'Ela disse: muito ____. (obrigado/obrigada)';Obrigada. Concorda com o sexo de quem fala — ela → obrigada.
'As alunas estão ____ (meio/meia) cansadas.';Meio. 'Meio' modificando adjetivo é advérbio — invariável. Macete: se pode trocar por 'um pouco', é advérbio.
'Ela comeu ____ (meio/meia) maçã.';Meia. Aqui 'meio' é numeral (metade), concorda com o substantivo feminino: meia maçã.
'Seguem ____ (anexo/anexos) os documentos.';Anexos. 'Anexo' é adjetivo — concorda em gênero e número com o substantivo: documentos → anexos.
'As cópias seguem ____ (anexo/em anexo).' Qual é invariável?;'Em anexo' é locução adverbial — invariável. 'Anexo' sozinho é adjetivo e flexiona: 'As cópias seguem anexas'.
'É ____ (necessário/necessária) muita paciência.';Necessário. Sem artigo antes do substantivo, o adjetivo predicativo fica no masculino singular (expressão genérica).
'A paciência é ____ (necessário/necessária).';Necessária. Com artigo determinando o substantivo, o adjetivo concorda: 'A paciência é necessária'.
'____ (Bastante/Bastantes) alunos compareceram.';Bastantes. Quando modifica substantivo, 'bastante' é adjetivo e flexiona: bastantes alunos.
'Os alunos são ____ (bastante/bastantes) inteligentes.';Bastante. Modificando adjetivo, é advérbio — invariável.
'Ela ____ (mesmo/mesma) fez a prova.';Mesma. 'Mesmo' como reforço pronominal concorda com o referente: ela mesma.
'Elas ____ (próprio/próprias) admitiram o erro.';Próprias. 'Próprio' concorda com o sujeito: elas próprias.
'Cerveja é ____ (bom/boa) no verão.' (sem artigo);Bom. Sem artigo, expressões como 'é bom', 'é proibido', 'é necessário' ficam no masculino singular.
'A cerveja é ____ (bom/boa).' (com artigo);Boa. Com artigo, o adjetivo concorda com o substantivo feminino.
'____ (Dado/Dados) as circunstâncias, cancelamos.' Concordância?;Dadas. 'Dado' é particípio com valor de preposição, mas concorda com o substantivo: dadas as circunstâncias.
'Vai ____ (incluso/inclusos) os recibos na carta.';Inclusos. 'Incluso' é adjetivo — concorda com o substantivo: recibos inclusos.
'Segue a fatura e o boleto ____ (anexo/anexos).';Anexos. Adjetivo posposto a dois substantivos de gêneros diferentes vai para o masculino plural.
'Elas ficaram ____ (alerta/alertas).';Alerta. 'Alerta' é advérbio na expressão 'ficar alerta' — invariável. (Alguns gramáticos aceitam flexão, mas bancas preferem invariável.)
'Elas estão ____ (quite/quites) com a mensalidade.';Quites. 'Quite' é adjetivo — concorda com o sujeito: elas estão quites.
'Nós ____ (lhe/lhes) enviamos o relatório.' Concordância do pronome?;Lhes. O pronome oblíquo concorda em número com o referente plural (a vocês/eles): nós lhes enviamos.
'V. Exa. está ____ (enganado/enganada).' (referindo-se a uma mulher);Enganada. A concordância ideológica (silepse de gênero) prevalece: se V. Exa. é mulher, o adjetivo vai ao feminino.
'Eu e tu ____ (iremos/ireis) ao evento.';Iremos. Sujeito composto com 'eu' → verbo na 1ª pessoa do plural.
'Tu e ele ____ (ireis/irão) ao evento.';Irão (3ª pessoa do plural) é a forma preferida. 'Ireis' (2ª plural) é gramaticalmente aceita mas incomum.
'Nem eu nem ele ____ (sabe/sabemos) a resposta.';Sabemos (1ª plural) ou sabe (3ª singular por atração). Com 'eu' no sujeito composto, bancas preferem 1ª pessoa do plural.
'Um e outro ____ (veio/vieram).';Ambas aceitas. Com 'um e outro', verbo no singular ou plural. Bancas costumam aceitar as duas.
'Cerca de vinte pessoas ____ (compareceu/compareceram).';Compareceram. Com 'cerca de' + numeral, o verbo concorda com o numeral (plural).
'Qual de nós ____ (conseguirá/conseguiremos)?';Conseguirá (3ª singular — regra padrão). 'Conseguiremos' é aceito, mas menos comum. Macete: 'qual de nós' = singular é mais seguro em provas.
'Quais de vocês ____ (querem/quer) sair?';Querem. Pronome interrogativo no plural (quais) leva verbo ao plural obrigatoriamente.
'Deve ____ (haver/haverem) irregularidades.' Locução verbal com verbo impessoal:;Haver. Em locução, o auxiliar assume a impessoalidade de haver: 'Deve haver' (singular). Macete: haver impessoal contamina o auxiliar.
'Não se ____ (pode/podem) perdoar tais crimes.' (VTD + SE);Podem. Com VTD + SE (apassivadora), sujeito = 'tais crimes': 'Não se podem perdoar tais crimes'.
'Trata-se de problemas complexos.' O verbo pode ir ao plural?;Não. VTI + SE = sujeito indeterminado → verbo sempre no singular. 'Problemas' é objeto indireto, não sujeito.
'Vossa Senhoria ____ (trouxe/trouxestes) os documentos?';Trouxe. Pronomes de tratamento exigem verbo na 3ª pessoa: V. Sa. trouxe.
'Faz dias que não durmo.' → 'Fazem dias' está errado?;Sim, errado. Fazer (tempo/clima) é impessoal — sempre singular: faz dias, faz frio.
'Já ____ (é/são) meio-dia e meia.';É. O verbo SER concorda com 'meio-dia' (singular). 'Meia' refere-se a meia hora.
'Cada um dos candidatos ____ (deve/devem) apresentar documentos.';Deve. 'Cada um' impõe singular ao verbo, mesmo com especificador no plural.
