front;back
Complete: Vou ___ escola todos os dias.;à escola. Verbo 'ir' exige preposição 'a' + artigo 'a' antes de 'escola' = crase obrigatória.
Complete: Refiro-me ___ aluna que passou.;à aluna. Verbo 'referir-se' exige 'a' + artigo 'a' definido antes de 'aluna'.
Há crase antes de palavras masculinas? Quando?;Sim, em expressões subentendidas: 'à moda de', 'à maneira de'. Ex: bife à milanesa, pintar à Picasso.
Complete: Ele foi ___ Bahia.;à Bahia. Macete: 'Vou A, volto DA, crase HÁ. Vou A, volto DE, crase PRA QUÊ?'. Volto DA Bahia → crase.
Complete: Ele foi ___ Curitiba.;a Curitiba (sem crase). Volto DE Curitiba → sem artigo → sem crase.
Complete: Ele foi ___ bela Curitiba.;à bela Curitiba. Adjetivo antes do nome da cidade atrai artigo: 'a bela Curitiba' → crase.
V ou F: Há crase antes de pronomes pessoais (ela, eu, nós).;FALSO. Nunca há crase antes de pronomes pessoais — eles não admitem artigo.
V ou F: Há crase antes de pronomes de tratamento (Vossa Excelência, Vossa Senhoria).;FALSO. Não há crase antes de pronomes de tratamento, EXCETO: senhora, senhorita, dona, madame.
Complete: Entregarei o documento ___ Vossa Senhoria.;a Vossa Senhoria (sem crase). Pronome de tratamento não aceita artigo.
Complete: Entregarei o documento ___ senhora.;à senhora. 'Senhora' é exceção entre os pronomes de tratamento — aceita artigo.
Complete: Estou ___ espera do resultado.;à espera. Locução adverbial feminina → crase obrigatória.
Cite 5 locuções adverbiais femininas com crase obrigatória.;à noite, à tarde, à esquerda, à direita, à vista, às vezes, às pressas, à toa, à vontade.
Complete: Vende-se ___ prazo e ___ vista.;a prazo (masc, sem crase) e à vista (locução adverbial feminina, com crase).
Complete: Fiz o bolo ___ moda da vovó.;à moda. Locução prepositiva feminina → crase obrigatória.
V ou F: 'Ele marcou o gol à Pelé' está correto.;VERDADEIRO. Subentende-se 'à moda/maneira de Pelé' → crase antes de palavra masculina.
Há crase em 'de segunda a sexta'?;NÃO. Paralelismo: se antes de 'segunda' não há artigo (de), antes de 'sexta' também não há.
Há crase em 'das 8h às 18h'?;SIM. Paralelismo: 'das' (de + as) indica artigo, então 'às' (a + as) também leva crase.
Macete para crase com horas?;Se houver artigo antes da primeira hora (das, desde as), haverá crase antes da segunda. Macete: troque a hora por 'meio-dia' — se couber 'ao meio-dia', há crase.
Complete: A reunião será ___ uma hora.;à uma hora. Hora definida → crase. Macete: 'ao meio-dia' funciona → crase.
V ou F: Há crase antes de verbo.;FALSO. Nunca há crase antes de verbo — verbos não aceitam artigo.
V ou F: Há crase antes de pronome indefinido (alguma, toda, cada).;FALSO. Pronomes indefinidos não aceitam artigo → sem crase.
Complete: Não me refiro ___ esta aluna.;a esta (sem crase). Pronome demonstrativo 'esta' não aceita artigo (regra geral).
Complete: O livro é superior ___ aquele.;àquele. Preposição 'a' + pronome 'aquele' = àquele (crase obrigatória nos demonstrativos aquele/aquela/aquilo).
Quando ocorre crase com 'aquele/aquela/aquilo'?;Sempre que o termo regente exigir preposição 'a'. Macete: troque por 'a este' — se funcionar, há crase em 'àquele'.
Complete: Assisti ___ aquela peça.;àquela. 'Assistir a' + 'aquela' = àquela.
Quando a crase é FACULTATIVA antes de nomes próprios femininos?;Quando o nome próprio feminino não exige artigo por tradição. Ex: Entreguei a/à Maria. (Facultativo).
Quando a crase é FACULTATIVA antes de pronomes possessivos femininos?;Quando o possessivo feminino (minha, sua, nossa) acompanha substantivo. Ex: Refiro-me a/à sua proposta.
Complete: Fui ___ minha casa.;a minha casa ou à minha casa (facultativa). Possessivo feminino + substantivo = crase facultativa.
Quando a crase é FACULTATIVA com 'até'?;Sempre que 'até' puder ser substituído por 'até a': Fui até a/à porta. Ambas as formas estão corretas.
Complete: O navio foi ___ Europa.;à Europa. Volto DA Europa → há artigo → crase.
V ou F: Nunca há crase antes de palavra no plural se o 'a' estiver no singular.;VERDADEIRO. 'a' (singular) + palavra no plural = preposição sozinha, sem artigo → sem crase. Ex: Refiro-me a pessoas.
Complete: Refiro-me ___ pessoas dedicadas.;a pessoas (sem crase). 'A' no singular antes de palavra no plural → é só preposição.
Complete: Refiro-me ___ às pessoas dedicadas.;às pessoas. 'Às' (plural) = preposição 'a' + artigo 'as' → crase.
V ou F: Há crase na expressão 'a partir de'.;FALSO. 'Partir' é verbo → nunca há crase antes de verbo.
V ou F: Há crase em 'face a face' e 'frente a frente'.;FALSO. Expressões com palavras repetidas → sem crase.
Há crase em 'à medida que' ou 'na medida em que'?;'À medida que' (proporção) → COM crase. 'Na medida em que' (causa) → sem crase (usa 'na').
Qual a diferença entre 'à distância' e 'a distância'?;À distância (determinada): 'à distância de 2 metros'. A distância (indeterminada): 'ensino a distância'. Bancas divergem — FCC e Cespe cobram essa distinção.
Complete: O edital faz referência ___ Lei 8.112/90.;à Lei. 'Referência a' + artigo 'a' antes de 'Lei' = crase. Pegadinha clássica de concurso.
Complete: Obedeço ___ lei.;à lei. 'Obedecer a' + artigo 'a' antes de 'lei' = crase.
Complete: Ele aspira ___ vaga.;à vaga. 'Aspirar a' (no sentido de desejar) é VTI + artigo 'a' = crase.
Complete: Ela assistiu ___ aula.;à aula. 'Assistir a' (ver) é VTI + artigo 'a' = crase.
V ou F: Em 'Paguei à funcionária' a crase está correta.;VERDADEIRO. 'Pagar a' (pessoa) = VTI + artigo 'a' antes de 'funcionária'.
Complete: A loja fica de frente ___ praça.;à praça. Locução prepositiva 'de frente a' + artigo = crase.
V ou F: 'Cheguei à casa de minha mãe' tem crase correta.;VERDADEIRO. 'Casa' especificada (de minha mãe) admite artigo → crase. Sem especificação ('cheguei a casa'), sem crase.
Complete: Cheguei ___ terra natal.;à terra natal. 'Terra' especificada → admite artigo → crase.
Complete: O marinheiro voltou ___ terra.;a terra (sem crase). 'Terra' (oposto de bordo), sem especificação → sem artigo.
