front;back
Qual é o objetivo da NR 19?;Estabelecer requisitos e medidas de prevenção para garantir segurança e saúde dos trabalhadores nas atividades de fabricação, manuseio, armazenagem e transporte de explosivos.
V ou F: A NR 19 se aplica apenas à fabricação de explosivos.;Falso. Aplica-se à fabricação, manuseio, armazenagem e transporte de explosivos.
Quantos anexos possui a NR 19?;Três anexos e um glossário.
Qual é o tema do Anexo 1 da NR 19?;Segurança e saúde na indústria e comércio de fogos de artifício e outros artigos pirotécnicos.
Qual é o tema do Anexo 2 da NR 19?;Tabelas de Quantidade x Distâncias para armazenamento de explosivos e acessórios.
O que apresentam as tabelas do Anexo 2 da NR 19?;Distâncias mínimas entre depósitos e entre depósito e edificações habitadas, rodovias e ferrovias, dependendo da quantidade e tipo de explosivo armazenado.
Em que caso as distâncias mínimas do Anexo 2 podem ser reduzidas à metade?;No caso de depósitos barricados ou entrincheirados, a depender da vistoria no local.
Qual é o tema do Anexo 3 da NR 19?;Grupos de incompatibilidade entre diferentes tipos de explosivos para fins de armazenamento e transporte.
Além da NR 19, qual outro normativo deve ser obedecido nas atividades com explosivos?;O normativo de explosivos da Diretoria de Fiscalização de Produtos Controlados do Exército Brasileiro.
O que é um acessório explosivo segundo a NR 19?;Engenho não muito sensível, de elevada energia de ativação, que fornece energia suficiente à continuidade de um trem explosivo e necessita de um acessório iniciador para ser ativado.
O que é um acessório iniciador segundo a NR 19?;Engenho sensível, de pequena energia de ativação, que fornece energia suficiente à iniciação de um trem explosivo de forma confiável, no tempo especificado e na sequência correta.
Qual a diferença principal entre acessório explosivo e acessório iniciador?;O acessório explosivo é não muito sensível (elevada energia de ativação), enquanto o iniciador é sensível (pequena energia de ativação).
O que é uma barricada segundo a NR 19?;Barreira intermediária de uso aprovado, natural ou artificial, que limita de maneira efetiva os efeitos de uma explosão nas áreas adjacentes.
Como a NR 19 define explosivo?;Todo material ou substância que, quando iniciada, sofre decomposição muito rápida, com grande liberação de calor e desenvolvimento súbito de pressão.
O que é iniciação no contexto de explosivos?;Fenômeno que consiste no desencadeamento de um processo ou série de processos explosivos.
V ou F: É permitida a fabricação de explosivos no perímetro urbano das cidades.;Falso. É proibida a fabricação de explosivos no perímetro urbano das cidades, vilas ou povoados.
No manuseio de explosivos, é permitido utilizar ferramentas que gerem centelha?;Não. É proibido utilizar ferramentas ou utensílios que possam gerar centelha ou calor por atrito.
V ou F: É permitido fumar nas áreas de manuseio de explosivos.;Falso. É proibido fumar ou praticar atos suscetíveis de produzir fogo ou centelha.
Por que é proibido usar calçados cravejados com pregos no manuseio de explosivos?;Para evitar o acúmulo de energia estática e a possibilidade de geração de centelhas.
V ou F: É permitido manter objetos sem relação direta com a atividade nos locais de manuseio de explosivos.;Falso. É proibido manter objetos que não tenham relação direta com a atividade.
É permitido armazenar explosivos e acessórios iniciadores em um mesmo depósito?;Não. É proibida a armazenagem de explosivos com acessórios iniciadores no mesmo depósito.
Quais materiais não podem ser armazenados junto com explosivos no mesmo depósito?;Acessórios iniciadores, pólvoras, fogos de artifício e outros artefatos pirotécnicos.
O que o PGR das empresas de explosivos deve contemplar além do disposto na NR 1?;Os fatores de risco de incêndios e explosão, e a implementação das respectivas medidas de prevenção.
Quem pode fabricar explosivos segundo a NR 19?;Somente organizações portadoras de Certificado de Conformidade homologado pelo Exército Brasileiro.
Quem deve definir as áreas perigosas das fábricas de explosivos?;O responsável técnico da organização ou profissional legalmente habilitado em segurança do trabalho.
Qual a formação exigida do responsável técnico segundo o glossário da NR 19?;Profissional legalmente habilitado da área de química.
Quais são as responsabilidades do responsável técnico na fabricação de explosivos?;Coordenação dos laboratórios de controle de qualidade e/ou controle de processos, e das operações de produção, inclusive desenvolvimento de novos produtos.
As áreas perigosas das fábricas de explosivos devem ter que tipo de vigilância?;Monitoramento eletrônico permanente, conforme normativo da Diretoria de Fiscalização de Produtos Controlados do Exército Brasileiro.
O que deve haver no terreno das organizações que fabricam explosivos?;Cerca adequada e separação entre os locais de fabricação, armazenagem e administração.
Quantos trabalhadores podem estar ao mesmo tempo em locais de encartuchamento de explosivos?;No máximo quatro trabalhadores ao mesmo tempo.
Como devem ser as paredes e tetos dos locais de fabricação de explosivos?;Devem ser de material incombustível.
Que tipo de piso é exigido nos locais de fabricação de explosivos?;Pisos antiestáticos.
V ou F: Os equipamentos nos locais de fabricação de explosivos devem ser aterrados.;Verdadeiro. Os equipamentos devem ser aterrados e, se necessárias, as instalações elétricas devem ser especiais de segurança.
Os locais de fabricação de explosivos devem ter sistemas de combate a quê?;Sistemas de combate a incêndios adequados aos fins a que se destinam, de acordo com a legislação estadual e normas técnicas vigentes.
V ou F: Materiais combustíveis podem ser mantidos nos locais de fabricação de explosivos desde que em pequena quantidade.;Falso. Os locais devem ser livres de materiais combustíveis ou inflamáveis.
Qual a quantidade máxima de matérias-primas com risco de explosão permitida nos locais de manuseio?;Quantidades mínimas possíveis, admitindo-se no máximo material para o trabalho de quatro horas.
V ou F: Depósitos de explosivos podem ser adaptados de construções já existentes.;Falso. Devem ser construídos especificamente para esta finalidade, tanto para armazenagem permanente quanto temporária.
Como devem ser as paredes dos paióis ou depósitos permanentes de explosivos?;Paredes duplas, em alvenaria ou concreto, com intervalos vazios entre elas de, no mínimo, cinquenta centímetros.
Quais são os requisitos de construção dos depósitos de explosivos quanto ao material?;Devem ser construídos de materiais incombustíveis e maus condutores de calor, em terreno firme, seco, a salvo de inundações.
V ou F: Os depósitos de explosivos devem ser ventilados.;Verdadeiro. Devem ser apropriadamente ventilados.
Os depósitos de explosivos devem ter que tipo de sinalização?;Sinalização externa adequada.
Que tipo de monitoramento é exigido para depósitos de explosivos?;Monitoramento eletrônico permanente, conforme normativo do Exército Brasileiro.
Por quanto tempo deve ser armazenada a gravação do monitoramento da área perigosa?;Pelo período mínimo de trinta dias.
Qual é a ocupação máxima da área de um depósito de explosivos?;Sessenta por cento (60%) da área, para permitir circulação do pessoal e afastamento das caixas das paredes.
Qual a distância mínima entre o teto do depósito e o topo do empilhamento de explosivos?;Setenta centímetros (70 cm).
Qual a fórmula para calcular a área interna de um depósito de explosivos?;A = N.S / 0,6.E, onde A = área em m², N = número de caixas, S = superfície de uma caixa em m², E = número de caixas empilhadas verticalmente.
Na fórmula A = N.S/0,6.E, o que representa o fator 0,6?;Representa o fator de ocupação máxima de 60% da área do depósito.
O empilhamento de caixas de explosivos deve estar afastado de quê?;Das paredes e do teto, sobre material incombustível.
Que tipo de instalações elétricas devem ter os depósitos de explosivos?;Instalações elétricas específicas para áreas classificadas.
V ou F: Explosivos de diferentes organizações podem ser armazenados no mesmo depósito.;Verdadeiro, desde que os produtos estejam visivelmente separados e identificados, as movimentações sejam individualizadas e atendam as regras de segurança.
Quais são as condições para armazenar explosivos de diferentes organizações no mesmo depósito?;Produtos visivelmente separados e identificados, movimentações de entrada e saída individualizadas, e atendimento às regras de segurança da NR 19.
Quando depósitos de explosivos são considerados 'construção única' para efeito das Tabelas Quantidade-Distância?;Quando as distâncias entre eles forem inferiores às constantes das Tabelas de Quantidades-Distâncias.
Quando depósitos são considerados construção única, como se calcula a quantidade de explosivos?;Corresponde à soma das quantidades estocadas em cada um dos depósitos.
Quando depósitos de explosivos são considerados 'unidades individuais'?;Quando as distâncias entre eles forem iguais ou superiores às constantes das Tabelas de Quantidades-Distâncias.
Se depósitos armazenam materiais incompatíveis, qual Tabela de Quantidade-Distância deve ser adotada?;A mais restritiva.
Quais são os órgãos reguladores do transporte de explosivos por via terrestre, aquaviária e aérea?;ANTT (rodoviário), ANTAQ (marítimo, fluvial ou lacustre) e ANAC (aéreo).
Qual agência regula o transporte rodoviário de explosivos?;ANTT – Agência Nacional de Transportes Terrestres.
Qual agência regula o transporte de explosivos por via marítima, fluvial ou lacustre?;ANTAQ – Agência Nacional de Transportes Aquaviários.
Qual agência regula o transporte aéreo de explosivos?;ANAC – Agência Nacional de Aviação Civil.
Em que tipo de embalagem deve estar o material explosivo para transporte?;Embalagem regulamentar, devidamente acondicionado.
Quem deve supervisionar os serviços de embarque e desembarque de explosivos?;Trabalhador capacitado nos termos da NR 1, sob responsabilidade do responsável técnico ou profissional legalmente habilitado em segurança do trabalho.
V ou F: Os equipamentos de carga, transporte e descarga de explosivos devem ser verificados quanto às condições de segurança.;Verdadeiro.
Onde devem ser afixadas as sinalizações de explosivo no transporte?;Em lugares visíveis do veículo de transporte.
V ou F: Munições, pólvoras e acessórios iniciadores podem ser transportados juntos com explosivos.;Falso. Devem ser transportados separadamente.
Contra o que o material explosivo deve ser protegido durante o transporte?;Contra a umidade e incidência direta dos raios solares.
