front;back
O verbo ASSISTIR no sentido de 'ver' é transitivo direto ou indireto?;Transitivo INDIRETO (assistir A algo). 'Assisti ao jogo.' Macete: quem assiste, assiste A algo.
O verbo ASSISTIR no sentido de 'prestar assistência' é transitivo direto ou indireto?;Transitivo DIRETO. 'O médico assistiu o paciente.' Sem preposição.
Complete: 'O filme ___ que assisti foi ótimo.' (a que / que);A QUE. Assistir no sentido de ver exige preposição A. 'O filme a que assisti.'
ASPIRAR no sentido de 'desejar' exige qual preposição?;Preposição A (transitivo indireto). 'Aspiro ao cargo.' NÃO admite pronome lhe — usa 'a ele/a ela'.
ASPIRAR no sentido de 'respirar/sugar' é VTD ou VTI?;Transitivo DIRETO. 'Aspirou o ar puro.' Sem preposição.
V ou F: 'Aspirei o cargo de diretor.';FALSO. No sentido de desejar, exige preposição A: 'Aspirei ao cargo de diretor.'
VISAR no sentido de 'almejar/pretender' exige qual regência?;Transitivo INDIRETO com preposição A. 'Viso ao sucesso.' (Embora a forma sem preposição seja aceita na linguagem moderna, bancas cobram a regência clássica.)
VISAR no sentido de 'dar visto/mirar' é VTD ou VTI?;Transitivo DIRETO. 'Visou o alvo.' / 'Visou o passaporte.' Sem preposição.
O verbo OBEDECER é transitivo direto ou indireto?;Transitivo INDIRETO (obedecer A). 'Obedeceu ao regulamento.' Pegadinha: admite voz passiva mesmo sendo VTI.
V ou F: 'O regulamento foi obedecido por todos.' é correto.;VERDADEIRO. Obedecer é VTI, mas é exceção: admite voz passiva. Mesma regra para DESOBEDECER.
Qual a regência correta de PREFERIR na norma culta?;Preferir algo A algo. 'Prefiro café a chá.' NUNCA 'preferir mais... do que'. Macete: preferir não admite reforço (mais, muito mais, mil vezes).
V ou F: 'Prefiro mais estudar do que trabalhar.';FALSO. O correto é 'Prefiro estudar a trabalhar.' Sem 'mais' e sem 'do que'.
IMPLICAR no sentido de 'acarretar' é VTD ou VTI?;Transitivo DIRETO. 'A decisão implicou mudanças.' (Sem preposição EM.) Pegadinha clássica de FCC e Cespe.
IMPLICAR no sentido de 'ter implicância' exige qual preposição?;Preposição COM. 'O chefe implica com os funcionários.' (VTI)
Complete: 'A medida implicou ___ demissão de funcionários.' (a / na / ∅);Sem preposição (∅). 'Implicou demissão.' Implicar = acarretar é VTD.
NAMORAR exige preposição COM na norma culta?;NÃO. Namorar é VTD. 'Ela namora o Pedro.' (Não: 'namora com o Pedro'.) Pegadinha frequente.
O verbo INFORMAR admite quais construções?;Dupla regência: informar algo A alguém (VTDI) OU informar alguém DE/SOBRE algo. Ambas corretas.
Complete: 'Informei o diretor ___ mudança.' (a / da / na);DA mudança. Informar alguém DE algo. (Ou: 'Informei a mudança ao diretor.')
ESQUECER/LEMBRAR sem pronome exige preposição?;NÃO. Sem pronome = VTD: 'Esqueci o nome.' COM pronome = VTI: 'Esqueci-me do nome.' Macete: pronome puxa preposição.
V ou F: 'Eu me esqueci o compromisso.';FALSO. Com pronome, exige preposição DE: 'Eu me esqueci do compromisso.'
V ou F: 'Eu esqueci do compromisso.';FALSO na norma culta. Sem pronome = VTD: 'Eu esqueci o compromisso.' (Ou: 'Eu me esqueci do compromisso.')
PAGAR e PERDOAR: qual a regência correta?;VTD para coisa, VTI (com A) para pessoa. 'Paguei a conta (coisa).' / 'Paguei ao vendedor (pessoa).' Mesmo para PERDOAR.
V ou F: 'Perdoei o amigo pelo erro.';FALSO na norma culta. Pessoa = OI: 'Perdoei ao amigo.' Coisa = OD: 'Perdoei o erro.'
O verbo CHEGAR exige qual preposição de lugar?;Preposição A (não EM). 'Cheguei ao escritório.' / 'Cheguei a casa.' Macete: quem chega, chega A.
V ou F: 'Cheguei em casa às 20h.';FALSO na norma culta. O correto é 'Cheguei a casa às 20h.' ou 'Cheguei em casa' (se for lugar definido com artigo: 'Cheguei na casa dele').
IR exige qual preposição para indicar destino?;Preposição A (permanência curta) ou PARA (permanência longa/definitiva). 'Fui ao banco.' / 'Fui para o Japão.' NUNCA 'fui no banco' na norma culta.
AGRADAR no sentido de 'satisfazer' é VTD ou VTI?;Transitivo INDIRETO (agradar A). 'O resultado agradou ao público.' No sentido de 'fazer carinho' é VTD: 'Agradou o filho.'
O verbo CUSTAR no sentido de 'ser difícil' tem qual regência?;VTI com preposição A + sujeito oracional. 'Custou-me entender.' (= Foi difícil para mim.) NUNCA 'eu custei a entender' na norma culta.
V ou F: 'Eu custei a acreditar na notícia.';FALSO na norma culta. O sujeito deve ser a oração: 'Custou-me acreditar na notícia.' (Pessoa = OI, não sujeito.)
QUERER no sentido de 'desejar' vs 'estimar': qual a diferença de regência?;Desejar = VTD: 'Quero um café.' Estimar/bem-querer = VTI: 'Quero aos meus filhos.' (com preposição A)
O verbo PROCEDER no sentido de 'ter fundamento' é intransitivo ou transitivo?;INTRANSITIVO. 'A denúncia não procede.' No sentido de 'realizar' = VTI com preposição A: 'Procedeu ao exame.'
RESPONDER na norma culta exige qual regência?;VTI com preposição A. 'Respondeu ao questionário.' / 'Respondeu à pergunta.' Pegadinha: muitos usam como VTD.
V ou F: 'Respondi o e-mail rapidamente.';FALSO na norma culta. O correto é 'Respondi ao e-mail.' (VTI com preposição A.)
OBEDECER e DESOBEDECER admitem o pronome LHE?;SIM. Mesmo sendo VTI com preposição A, admitem LHE: 'Obedeci-lhe.' Exceção à regra geral.
Complete: 'Este é o cargo ___ que aspiro.' (a que / que / em que);A QUE. Aspirar (desejar) exige preposição A. 'O cargo a que aspiro.'
SIMPATIZAR e ANTIPATIZAR exigem qual regência?;VTI com preposição COM. 'Simpatizo com ele.' NUNCA pronominais: 'simpatizei-me com' é ERRADO.
V ou F: 'Simpatizei-me com a ideia.';FALSO. Simpatizar NÃO é pronominal. O correto é 'Simpatizei com a ideia.'
ACESSÍVEL exige qual preposição?;Preposição A. 'O local é acessível a todos.' (Regência nominal)
COMPATÍVEL exige qual preposição?;Preposição COM. 'O sistema é compatível com o dispositivo.'
PASSÍVEL exige qual preposição?;Preposição DE. 'A decisão é passível de recurso.'
ÁVIDO exige qual preposição?;Preposição DE ou POR. 'Está ávido de/por conhecimento.'
ANSIOSO exige qual preposição?;Preposição POR ou PARA. 'Ansioso por notícias.' / 'Ansioso para começar.'
PROPÍCIO exige qual preposição?;Preposição A. 'O momento é propício ao investimento.'
ALHEIO exige qual preposição?;Preposição A. 'Ficou alheio ao problema.' (Regência nominal)
IMUNE exige qual preposição?;Preposição A ou DE. 'Imune a críticas.' / 'Imune de impostos.'
Complete: 'Tenho horror ___ violência.' (à / da / pela);À. Horror exige preposição A. 'Tenho horror à violência.'
FAVORÁVEL e CONTRÁRIO exigem qual preposição?;Preposição A. 'Sou favorável à proposta.' / 'Sou contrário ao projeto.'
O verbo PISAR é VTD ou VTI na norma culta?;Transitivo DIRETO. 'Pisar o gramado.' (Sem preposição EM na norma culta.) Pegadinha: 'pisar no gramado' é coloquial.
V ou F: 'O assunto que me referi era polêmico.';FALSO. Referir-se exige preposição A: 'O assunto a que me referi.'
APTO exige qual preposição?;Preposição A ou PARA. 'Apto ao exercício.' / 'Apto para o cargo.' Ambas aceitas.
